CER Category					Examples	AutoExpanded
	Moon				moon, lunar, Deimos, Phobos, Adrastea, Aitne, Amalthea, Ananke, Aoede, Arche, Autonoe, Callirrhoe, Callisto, Carme, Carpo, Chaldene, Cyllene, Dia, Elara, Erinome, Euanthe, Eukelade, Euporie, Europa, Eurydome, Ganymede, Harpalyke, Hegemone, Helike, Hemippe, Herse, Himalia, Io, Iocaste, Isonoe, Jupiter LI, Jupiter LII, Kale, Kallichore, Kalyke, Kore, Leda, Lysithea, Megaclite, Metis, Mneme, Orthosie, Pasiphae, Pasithee, Praxidike, Sinope, Sponde, Taygete, Thebe, Thelxinoe, Themisto, Thyone, Enceladus, Titan, Aegaeon, Aegir, Albiorix, Anthe, Atlas, Bebhionn, Bergelmir, Bestla, Calypso, Daphnis, Dione, Epimethius, Erriapus, Farbauti, Fenrir, Fornjot, Greip, Hati, Helene, Hyperion, Hyrrokkin, Iapetus, ijiraq, Janus, Jarnsaxa, Kari, Kiviuq, Loge, Methone, Mimas, Mundilfari, Narvi, Paaliaq, Pallene, Pan, Pandora, Phoebe, Polydeuces, Prometheus, Rhea, Siarnaq, Skathi, Skoll, Surtur, Suttungr, Tarqeq, Tarvos, Telesto, Tethys, Thrymr, Ymir, Ariel, Belinda, Bianca, Caliban, Cordelia, Cressida, Cupid, Desdemona, Ferdinand, Francisco, Juliet, Mab, Margaret, Miranda, Oberon, Ophelia, Perdita, Portia, Prospero, Puck, Rosalind, Setebos, Stephano, Sycorax, Titania, Trinculo, Umbriel, Despina, galatea, Halimede, Hippocamp, Laomedeia, Larissa, Naiad, Nereid, Neso, Proteus, Psamathe, Sao, Thalassa, Triton, Charon, Hydra, Kerberos, Nix, Styx	moon, lunar, deimos, phobos, adrastea, aitne, amalthea, ananke, aoede, arche, autonoe, callirrhoe, callisto, carme, carpo, chaldene, cyllene, dia, elara, erinome, euanthe, eukelade, euporie, europa, eurydome, ganymede, harpalyke, hegemone, helike, hemippe, herse, himalia, io, iocaste, isonoe, jupiter li, jupiter lii, kale, kallichore, kalyke, kore, leda, lysithea, megaclite, metis, mneme, orthosie, pasiphae, pasithee, praxidike, sinope, sponde, taygete, thebe, thelxinoe, themisto, thyone, enceladus, titan, aegaeon, aegir, albiorix, anthe, atlas, bebhionn, bergelmir, bestla, calypso, daphnis, dione, epimethius, erriapus, farbauti, fenrir, fornjot, greip, hati, helene, hyperion, hyrrokkin, iapetus, ijiraq, janus, jarnsaxa, kari, kiviuq, loge, methone, mimas, mundilfari, narvi, paaliaq, pallene, pan, pandora, phoebe, polydeuces, prometheus, rhea, siarnaq, skathi, skoll, surtur, suttungr, tarqeq, tarvos, telesto, tethys, thrymr, ymir, ariel, belinda, bianca, caliban, cordelia, cressida, cupid, desdemona, ferdinand, francisco, juliet, mab, margaret, miranda, oberon, ophelia, perdita, portia, prospero, puck, rosalind, setebos, stephano, sycorax, titania, trinculo, umbriel, despina, galatea, halimede, hippocamp, laomedeia, larissa, naiad, nereid, neso, proteus, psamathe, sao, thalassa, triton, charon, hydra, kerberos, nix, styx, |, hydras, jupiter-lii, nixing, diario, titans, panned, nixed, calypsos, jupiter-li, pucks, titanias, kales, cupids, moons, mooned, pans, mooning, nixes, juliette, panning, tritons, hydrae, phoebes
		Lunar phases			new moon, waxing crescent, first quarter, waxing gibbous, full moon, waning gibbous, last quarter, waning cresent, new, wax, wane, phase, quarter, crescent, gibbous, full	new moon, waxing crescent, first quarter, waxing gibbous, full moon, waning gibbous, last quarter, waning cresent, new, wax, wane, phase, quarter, crescent, gibbous, full, |, fuller, quartered, wanes, phases, waning-cresent, waning, waned, full-moon, waning-gibbous, newer, fulled, newest, waxing-crescent, first-quarter, waxing, new-moon, quartering, phased, waxes, fullest, waxing-gibbous, crescents, quarters, fulls, last-quarter, fulling, waxed, phasing
	Nebula				nebula, Cat's Eye Nebula, Horseshoe Nebula, Orion Nebula, Glowing eye, Dandelion Puffball, Bow-Tie Nebula, Ghost of Jupiter, Blinking Planetary, Dumbbell Nebula, Ring Nebula, Eskimo Nebula, Little Ghost Nebula, Medusa Nebula, Helix Nebula, Little Dumbbell Nebula, Owl Nebula, Twin Jet Nebula, Butterfly Nebula, Footprint Nebula, Jones-Emberson 1, Lemon Slice Nebula, Soap Bubble Nebula, Skull Nebula, Oyster Nebula, Blue Racquetball, Turquoise Orb, Blue Flash Nebula, Fetus Nebula, Blue Snowball Nebula, Soccer Ball Nebula, Red Spider Nebula, Bug Nebula, Saturn Nebula, Eight-burst Nebula, Retina Nebula, Spirograph Nebula, Stingray Nebula, Spiral Planetary Nebula, Ant Nebula, Shapley 1, Hourglass Nebula, Fleming 1, Southern Owl Nebula, Robin's Egg Nebula, Cleopatra's Eye, Box Nebula, Phantom Streak Nebula, Little Gem Nebula, Eye of Sauron Nebula, coalsack nebula, cone nebula, dark doodad nebula, dark horse nebula, horsehead nebula, pipe nebula, snake nebula, barnard's loop, boomerang nebula, bubble nebula, bubble nebula in barnard's galaxy, california nebula, cave nebula, corona australis nebula, cone nebula, crescent nebula, double helix nebula, eagle nebula, elephant's trunk nebula, eta carinae nebula, flame nebula, gum nebula, heart nebula, lagoon nebula, north america nebula, omega nebula, pistol nebula, rosette nebula, running chicken nebula, soul nebula, tarantula nebula, trifid nebula, witch head nebula, messier 43, messier 78, ngc 248, ngc 249, ngc 256, ngc 261, ngc 267, ngc 281, ngc 299, ngc 306, ngc 346, ngc 371, ngc 395, ngc 588, ngc 595, ngc 604, ngc 1435, reflection nebula in the pleiades, ngc 1491, ngc 1579, ngc 1714, ngc 1715, ngc 1788, ngc 1931, ngc 1973, ngc 1975 and ngc 1977, ngc 1999, ngc 2014, ngc 2023, ngc 2080, ghost head nebula, ngc 2174, ngc 2261, ngc 2736, the pencil nebula, ngc 3576, ngc 3603, ngc 6188, ngc 6193, ngc 6334, ngc 6357, ngc 6559, ngc 6589, ngc 6590, ngc 6914, ngc 7129, lha 120-n55, boomerang nebula, calabash nebula, egg nebula, frosty leo nebula, red rectangle nebula, gomez's hamburger, cotton candy nebula, water lily nebula, westbrook nebula, ll pegasi, m1-92, minkowski's butterfly, robert 22	nebula, cat's eye nebula, horseshoe nebula, orion nebula, glowing eye, dandelion puffball, bow-tie nebula, ghost of jupiter, blinking planetary, dumbbell nebula, ring nebula, eskimo nebula, little ghost nebula, medusa nebula, helix nebula, little dumbbell nebula, owl nebula, twin jet nebula, butterfly nebula, footprint nebula, jones-emberson 1, lemon slice nebula, soap bubble nebula, skull nebula, oyster nebula, blue racquetball, turquoise orb, blue flash nebula, fetus nebula, blue snowball nebula, soccer ball nebula, red spider nebula, bug nebula, saturn nebula, eight-burst nebula, retina nebula, spirograph nebula, stingray nebula, spiral planetary nebula, ant nebula, shapley 1, hourglass nebula, fleming 1, southern owl nebula, robin's egg nebula, cleopatra's eye, box nebula, phantom streak nebula, little gem nebula, eye of sauron nebula, coalsack nebula, cone nebula, dark doodad nebula, dark horse nebula, horsehead nebula, pipe nebula, snake nebula, barnard's loop, boomerang nebula, bubble nebula, bubble nebula in barnard's galaxy, california nebula, cave nebula, corona australis nebula, cone nebula, crescent nebula, double helix nebula, eagle nebula, elephant's trunk nebula, eta carinae nebula, flame nebula, gum nebula, heart nebula, lagoon nebula, north america nebula, omega nebula, pistol nebula, rosette nebula, running chicken nebula, soul nebula, tarantula nebula, trifid nebula, witch head nebula, messier 43, messier 78, ngc 248, ngc 249, ngc 256, ngc 261, ngc 267, ngc 281, ngc 299, ngc 306, ngc 346, ngc 371, ngc 395, ngc 588, ngc 595, ngc 604, ngc 1435, reflection nebula in the pleiades, ngc 1491, ngc 1579, ngc 1714, ngc 1715, ngc 1788, ngc 1931, ngc 1973, ngc 1975 and ngc 1977, ngc 1999, ngc 2014, ngc 2023, ngc 2080, ghost head nebula, ngc 2174, ngc 2261, ngc 2736, the pencil nebula, ngc 3576, ngc 3603, ngc 6188, ngc 6193, ngc 6334, ngc 6357, ngc 6559, ngc 6589, ngc 6590, ngc 6914, ngc 7129, lha 120-n55, boomerang nebula, calabash nebula, egg nebula, frosty leo nebula, red rectangle nebula, gomez's hamburger, cotton candy nebula, water lily nebula, westbrook nebula, ll pegasi, m1-92, minkowski's butterfly, robert 22, |, egg-nebula, snake-nebula, lha-120-n55, ngc-1999, ring-nebula, footprint-nebula, ngc-1579, cat's-eye-nebula, ngc-2174, blue-snowball-nebula, cave-nebula, north-america-nebula, ngc-6188, ngc-2080, ngc-249, westbrook-nebula, pipe-nebula, minkowski's-butterfly, lha 120 n55, boomerang-nebula, shapley-1, bug-nebula, ngc-1714, ngc-306, eight-burst-nebula, ngc-395, ngc-1715, nebulas, fetus-nebula, owl-nebula, corona-australis-nebula, ngc-6357, witch-head-nebula, water-lily-nebula, ngc-3576, soccer-ball-nebula, blue-racquetball, ngc-2736, ngc-261, ngc-1788, coalsack-nebula, messier-78, m1 92, dumbbell-nebula, nebulae, eight burst nebula, ngc-6193, blinking-planetary, ngc-588, gum-nebula, ngc-7129, spiral-planetary-nebula, barnard's-loop, ngc-2023, double-helix-nebula, glowing-eye, phantom-streak-nebula, ngc-1973, ngc-6589, ngc-346, lagoon-nebula, cleopatra's-eye, blue-flash-nebula, butterfly-nebula, flame-nebula, box-nebula, ngc-3603, red-spider-nebula, robin's-egg-nebula, ll-pegasi, helix-nebula, ant-nebula, bubble-nebula-in-barnard's-galaxy, california-nebula, ngc-6914, jones emberson 1, dark-doodad-nebula, ngc-6559, hourglass-nebula, little-ghost-nebula, tarantula-nebula, frosty-leo-nebula, ngc-6334, ngc-299, orion-nebula, omega-nebula, red-rectangle-nebula, eskimo-nebula, ngc-6590, rosette-nebula, eagle-nebula, spirograph-nebula, bow-tie-nebula, ghost-of-jupiter, trifid-nebula, ngc-604, running-chicken-nebula, horsehead-nebula, stingray-nebula, eta-carinae-nebula, dark-horse-nebula, twin-jet-nebula, skull-nebula, little-dumbbell-nebula, eye-of-sauron-nebula, heart-nebula, gomez's-hamburger, turquoise-orb, crescent-nebula, fleming-1, cone-nebula, soul-nebula, medusa-nebula, messier-43, dandelion-puffball, soap-bubble-nebula, horseshoe-nebula, oyster-nebula, calabash-nebula, cotton-candy-nebula, the-pencil-nebula, ngc-595, ngc-2261, retina-nebula, ngc-281, jones-emberson-1, reflection-nebula-in-the-pleiades, ngc-248, southern-owl-nebula, ghost-head-nebula, saturn-nebula, pistol-nebula, robert-22, ngc-267, ngc-1931, ngc-1435, ngc-2014, bubble-nebula, elephant's-trunk-nebula, ngc-1975-and-ngc-1977, ngc-371, ngc-1491, bow tie nebula, little-gem-nebula, ngc-256, lemon-slice-nebula
	Particles				ice particle, ice particles, dust, particle, particles, subatomic particle, subatomic particles, particulate, particulates, cosmic dust, extraterrestrial dust, space dust, stardust, presolar grain, presolar grains	ice particles, dust, particles, subatomic particles, particulates, cosmic dust, extraterrestrial dust, space dust, stardust, presolar grains, |, dusted, space-dust, dusts, dusting, cosmic-dust, ice-particles, extraterrestrial-dust, presolar-grains, particle, subatomic-particles, particulate
	Planet				planet, planets, rouge planet, planetary	planet, planets, rouge planet, planetary, |, rouge-planet
		Dwarf Planets			Pluto, Ceres, Haumea, Makemake, Eris	pluto, ceres, haumea, makemake, eris, |
		Inner Planets			Earth, Venus, Mars, Mercury, terrestrial planets, inner planet, inner	earth, venus, mars, mercury, terrestrial planets, inner planet, inner, |, inners, marred, mercuries, inner-planet, earthing, terrestrial-planets, earths, earthed, marring
		Outer Planets			Saturn, Jupiter, Neptune, Uranus, gas giants, outer planet, outer	saturn, jupiter, neptune, uranus, gas giants, outer planet, outer, |, gas-giants, outers, outermost, outer-planet
		Planet parts			core, crust, mantle, ring, surface, axis, magnetic pole, atmosphere, magnetosphere	core, crust, mantle, ring, surface, axis, magnetic pole, atmosphere, magnetosphere, |, axises, rungs, ringing, surfaces, crusted, cored, rang, cores, magnetic-pole, rung, crusting, axes, mantling, surfacing, mantles, ringed, magnetospheres, crusts, surfaced, rings, coring, mantled, atmospheres
	Satellite				satellite, satellites, Mir, ISS, Cartosat-2, Sputnik, communications satellite, GOES 15, Oceansat-1, Astrosat, INSAT-4B, Azerspace-1, Suomi NPP, Glory	satellite, satellites, mir, iss, cartosat-2, sputnik, communications satellite, goes 15, oceansat-1, astrosat, insat-4b, azerspace-1, suomi npp, |, sputniks, insat 4b, cartosat 2, communications-satellite, suomi-npp, azerspace 1, oceansat 1, goes-15
	Solar system				solar system, multiplanetary system, planetary system, planetary systems	solar system, multiplanetary system, planetary systems, |, solar-system, planetary-systems, multiplanetary-system
